kvkNr,deptNr,name,sector,vatNr
56737094,74106627,Record World,Industrie,NL365412437B51,null
24618828,50754854,Garden Master,Industrie,NL985373125B67,null
98530844,68367522,Brown Derby,Toerisme,NL425030556B15,null
77378397,60593962,Capitalcorp,Veeteelt,NL189840937B90,null
72309085,70564823,Practi-Plan Mapping,Toerisme,NL930017974B64,null
90497536,62904846,House 2 Home,Handel en bankwezen,NL136876678B26,null
59923830,28974379,Widdmann,Energie,NL689870139B78,null
81575711,50223155,Video Concepts,Akker- en tuinbouw,NL481263167B32,null
36179932,20498776,Brilliant Home Designs,Handel en bankwezen,NL415140580B54,null
93798709,71115644,Thalhimers,Industrie,NL315344303B91,null
80407478,75996192,Food Fair,Industrie,NL834804226B08,null
52570195,11270198, excavating,Handel en bankwezen,NL488693809B07,null
20304610,80941099,Peter Reeves,Handel en bankwezen,NL451968467B10,null
82840589,29069157,Intelli Wealth Group,Transport,NL124985062B14,null
55410507,33784188,Quality Event Planner,Visserij,NL847920704B23,null
77093455,84286317,Huffman and Boyle,Akker- en tuinbouw,NL727392250B14,null
49788214,91578435,Zantigo,Energie,NL182798839B34,null
63846431,99969097,Greyvoid,Industrie,NL839150804B08,null
73271563,94129207,Avant Garde Interior Designs,Veeteelt,NL723378042B55,null
97968834,32787412, vending,Toerisme,NL839634659B97,null
29586503,11223962,Your Choices,Akker- en tuinbouw,NL270220570B65,null
69836651,11099096,Great American Music,Handel en bankwezen,NL548064395B95,null
92305704,86664053, twisting,Toerisme,NL644640364B65,null
68247518,31788569,Griff's Hamburgers,Transport,NL448221563B34,null
52463963,88961901,Joseph Magnin,Handel en bankwezen,NL681113445B37,null
90582198,27265293,StopGrey,Toerisme,NL812443787B15,null
68950949,56237909,Incredible Universe,Transport,NL769544032B21,null
47879445,53786892,Dreamscape Garden Care,Veeteelt,NL386155023B54,null
27823861,31650042,Mighty Casey's,Akker- en tuinbouw,NL518059443B82,null
24387947,21077700,Mervyn's,Akker- en tuinbouw,NL499373407B35,null
75640000,63443256,Awthentikz,Toerisme,NL170300528B45,null
39510565,31613481, signal,Energie,NL682825003B38,null
14543778,72162713,Netobill,Transport,NL580438792B01,null
26929990,74443093,Corpbay,Visserij,NL594978328B87,null
54498972,64650197,Luskin's,Toerisme,NL643509592B42,null
91815222,43416900,Sav-A-Center,Akker- en tuinbouw,NL642607781B40,null
10338435,70911065,Nedick's,Akker- en tuinbouw,NL281719080B78,null
65432220,47604508,Prestiga-Biz,Handel en bankwezen,NL468323870B90,null
31750890,28440716,Netaid,Industrie,NL578051166B13,null
30429261,91550144,Laneco,Handel en bankwezen,NL242594442B72,null
94301628,56234134,Hughes & Hatcher,Toerisme,NL561629458B47,null
25436759,17373061,Dun Rite Lawn Maintenance,Handel en bankwezen,NL612275957B22,null
52546962,68876799,The Goose and Duck,Visserij,NL960492230B16,null
89408428,70255252,Grand Union,Akker- en tuinbouw,NL432768171B46,null
22341538,76182546,Total Serve,Visserij,NL905521067B71,null
56004840,60482373,Endicott Johnson,Transport,NL919626797B58,null
41753692,57796029,Magna Architectural Design,Transport,NL200637760B49,null
23496583,28715737,Golden Dawn,Energie,NL668876004B81,null
15057068,65378297,Galaxy Man,Toerisme,NL148340226B60,null
30482518,42027841,The Independent Planners,Visserij,NL157380056B52,null
49132504,93691742,J. Riggings,Akker- en tuinbouw,NL977612348B05,null
33493911,80530053,Friendly Advice,Visserij,NL956603345B99,null
15099892,46171354,Kent's,Energie,NL159933786B02,null
79415598,52773952,Access Asia,Akker- en tuinbouw,NL466293424B9,null
70905134,38100735,Beefsteak Charlie's,Akker- en tuinbouw,NL692867822B57,null
89635947,87481298,Jacobs,Transport,NL358771393B9,null
61957888,86293868,Chief Auto Parts,Industrie,NL408499808B26,null
66991602,24021556,Wag's,Veeteelt,NL887319430B26,null
47402012,17550195,White Tower Hamburgers,Energie,NL286964110B56,null
65304198,96441612,Newhair,Industrie,NL977311781B72,null
77885108,74487083,S&W Cafeteria,Toerisme,NL868716075B60,null
14456316,65577414,Laura Ashley,Visserij,NL450721152B83,null
16834746,79561560,Plan Smart,Transport,NL618821173B77,null
27901034,45117087,Bonanza Produce Stores,Akker- en tuinbouw,NL707175669B56,null
73633990,87682484,Total Quality,Energie,NL337184028B13,null
47476918,67884907,Playworld,Transport,NL572382582B55,null
26844521,95832783,Mr. Clark's Appliances,Energie,NL665372857B47,null
79186332,78109323,Hastings,Handel en bankwezen,NL817696617B21,null
83639048,81269824,The Jolly Farmer,Energie,NL349403478B75,null
86579588,71130293,Showbiz Pizza Place,Veeteelt,NL528317253B11,null
25864006,78505197,Weathervane,Transport,NL595360272B27,null
66836930,78063521,Rite Solution,Industrie,NL246858468B38,null
69011110,83413763,Super Shops,Transport,NL420127653B9,null
66792818,43979645,Paul Harris,Veeteelt,NL958578596B86,null
15654016,15279586,Old America Stores,Handel en bankwezen,NL162971390B98,null
57455728,20867707,Crown Auto Parts,Handel en bankwezen,NL257114553B39,null
99942114,54627821,Accord Investments,Industrie,NL125234143B31,null
58716916,86492270,Crown Books,Toerisme,NL401476456B67,null
98093323,73927872,Farmer Jack,Veeteelt,NL173218177B37,null
14787623,14118543,Rustler Steak House,Veeteelt,NL466600536B38,null
23935077,25401528, planning,Handel en bankwezen,NL509646615B53,null
18054892,56553863,Boston Sea Party,Transport,NL837073009B49,null
13269371,35053139,Judy's,Veeteelt,NL503347654B35,null
62337586,98469866,Avant Garde Appraisal Group,Industrie,NL509651015B05,null
76991258,18250888,Infinity Investment Plan,Transport,NL554286826B29,null
87104932,77464400,Heslop's,Visserij,NL405078403B87,null
22242943,19478184,Rivera Property Maintenance,Transport,NL864875890B52,null
80245923,29673982,Food Barn,Energie,NL207841258B55,null
48142350,65527404,Polk Brothers,Toerisme,NL703553872B23,null
27959568,10759453,Square Circle,Veeteelt,NL726835224B73,null
21822312,28171264,One-Up Realty,Akker- en tuinbouw,NL923161256B75,null
25408613,50809687,Metro,Toerisme,NL879523543B74,null
41299799,16685397,Gantos,Toerisme,NL404440878B94,null
19855481,32841763,Planet Pizza,Toerisme,NL170743611B97,null
92220232,26926269,Asian Solutions,Veeteelt,NL898450938B21,null
98471813,59075700,Red Owl,Toerisme,NL302293879B91,null
71376217,49390913,Irving's Sporting Goods,Visserij,NL719551638B54,null
19444780,31291066,Hechinger,Industrie,NL604981607B03,null
73717047,78062026,BASCO,Transport,NL548890709B76,null
38907971,94916614,Personal & Corporate Design,Industrie,NL865605261B20,null
87846362,90969310,Stratacard,Handel en bankwezen,NL201628113B98,null
56098805,40207652,Colonial Stores,Energie,NL456240464B35,null
35239496,39740494,Lee Wards,Transport,NL859017763B72,null
73968765,79176393,Handyman,Transport,NL863864453B26,null
49579261,36322533,Desert Garden Help,Toerisme,NL848337025B30,null
92091337,35149608,A.J. August Fashion Wear,Toerisme,NL888360933B24,null
79472608,37158717,Honest Air Group,Handel en bankwezen,NL152651501B68,null
85759208,94237196,Expo Superstore,Transport,NL587204715B40,null
58441967,63617958,Strength Gurus,Akker- en tuinbouw,NL205242580B61,null
63231886,46402270,Asian Plan,Veeteelt,NL192667407B58,null
86877159,92003220,Flagg Bros. Shoes,Transport,NL191533183B87,null
68178541,12426998,Circus World,Toerisme,NL598703455B73,null
61464168,56664241,Audio Visions,Transport,NL218017043B49,null
36858422,80430715,Angel's,Handel en bankwezen,NL179502752B93,null
80463474,20267161,Twin Food Stores,Industrie,NL226553441B65,null
74762985,34556856,Sounds of Soul Records & Tapes,Energie,NL764758355B83,null
86766476,61065129,Roberd's,Energie,NL641941860B32,null
44258126,13027925,Cardinal Stores,Industrie,NL468368719B90,null
40074836,83552886,Krauses Sofa Factory,Energie,NL823641618B81,null
36675825,27316838,Weingarten's,Akker- en tuinbouw,NL938836568B16,null
54309203,64981743,Janeville,Industrie,NL786400479B51,null
